secid,date,days,volatility,ticker,index_flag
107525,20120904,10,0.17441,MSFT,0
107525,20120904,14,0.163533,MSFT,0
107525,20120904,30,0.134945,MSFT,0
107525,20120904,60,0.196049,MSFT,0
107525,20120904,91,0.222721,MSFT,0
107525,20120904,122,0.214644,MSFT,0
107525,20120904,152,0.217991,MSFT,0
107525,20120904,182,0.20772,MSFT,0
107525,20120904,273,0.207206,MSFT,0
107525,20120904,365,0.220493,MSFT,0
107525,20120904,547,0.230246,MSFT,0
107525,20120904,730,0.220998,MSFT,0
107525,20120904,1825,0.325984,MSFT,0
107525,20120905,10,0.159356,MSFT,0
107525,20120905,14,0.158238,MSFT,0
107525,20120905,30,0.133554,MSFT,0
107525,20120905,60,0.193644,MSFT,0
107525,20120905,91,0.21528,MSFT,0
107525,20120905,122,0.213363,MSFT,0
107525,20120905,152,0.216941,MSFT,0
107525,20120905,182,0.207308,MSFT,0
107525,20120905,273,0.207171,MSFT,0
107525,20120905,365,0.220161,MSFT,0
107525,20120905,547,0.230178,MSFT,0
107525,20120905,730,0.220779,MSFT,0
107525,20120905,1825,0.3259,MSFT,0
107525,20120906,10,0.249714,MSFT,0
107525,20120906,14,0.219379,MSFT,0
107525,20120906,30,0.16668,MSFT,0
107525,20120906,60,0.205184,MSFT,0
107525,20120906,91,0.223388,MSFT,0
107525,20120906,122,0.219107,MSFT,0
107525,20120906,152,0.221188,MSFT,0
107525,20120906,182,0.211817,MSFT,0
107525,20120906,273,0.209798,MSFT,0
107525,20120906,365,0.221469,MSFT,0
107525,20120906,547,0.231512,MSFT,0
107525,20120906,730,0.221591,MSFT,0
107525,20120906,1825,0.326062,MSFT,0
107525,20120907,10,0.266419,MSFT,0
107525,20120907,14,0.232047,MSFT,0
107525,20120907,30,0.17424,MSFT,0
107525,20120907,60,0.207156,MSFT,0
107525,20120907,91,0.223489,MSFT,0
107525,20120907,122,0.220081,MSFT,0
107525,20120907,152,0.22101,MSFT,0
107525,20120907,182,0.212566,MSFT,0
107525,20120907,273,0.210056,MSFT,0
107525,20120907,365,0.22175,MSFT,0
107525,20120907,547,0.231228,MSFT,0
107525,20120907,730,0.221787,MSFT,0
107525,20120907,1825,0.325983,MSFT,0
107525,20120910,10,0.294192,MSFT,0
107525,20120910,14,0.235776,MSFT,0
107525,20120910,30,0.180183,MSFT,0
107525,20120910,60,0.198641,MSFT,0
