secid,date,cp_flag,index_flag,ticker,volume,open_interest
107525,20120904,,0,MSFT,348895,3145270
107525,20120904,C,0,MSFT,143077,1844740
107525,20120904,P,0,MSFT,205818,1300530
107525,20120905,,0,MSFT,76513,3344092
107525,20120905,C,0,MSFT,48317,1915380
107525,20120905,P,0,MSFT,28196,1428712
107525,20120906,,0,MSFT,177809,3357307
107525,20120906,C,0,MSFT,119090,1921130
107525,20120906,P,0,MSFT,58719,1436177
107525,20120907,,0,MSFT,142581,3405243
107525,20120907,C,0,MSFT,104143,1951303
107525,20120907,P,0,MSFT,38438,1453940
107525,20120910,,0,MSFT,129903,3438700
107525,20120910,C,0,MSFT,82366,1977958
107525,20120910,P,0,MSFT,47537,1460742
107525,20120911,,0,MSFT,160412,3466630
107525,20120911,C,0,MSFT,90842,1997211
107525,20120911,P,0,MSFT,69570,1469419
107525,20120912,,0,MSFT,87944,3568366
107525,20120912,C,0,MSFT,66669,2057470
107525,20120912,P,0,MSFT,21275,1510896
107525,20120913,,0,MSFT,130062,3582041
107525,20120913,C,0,MSFT,75553,2069461
107525,20120913,P,0,MSFT,54509,1512580
107525,20120914,,0,MSFT,141369,3614126
107525,20120914,C,0,MSFT,80674,2083655
107525,20120914,P,0,MSFT,60695,1530471
107525,20120917,,0,MSFT,88610,3642783
107525,20120917,C,0,MSFT,30748,2107386
107525,20120917,P,0,MSFT,57862,1535397
107525,20120918,,0,MSFT,71425,3657402
107525,20120918,C,0,MSFT,54074,2110325
107525,20120918,P,0,MSFT,17351,1547077
107525,20120919,,0,MSFT,64397,3692519
107525,20120919,C,0,MSFT,33392,2143652
107525,20120919,P,0,MSFT,31005,1548867
107525,20120920,,0,MSFT,112958,3701749
107525,20120920,C,0,MSFT,82674,2149715
107525,20120920,P,0,MSFT,30284,1552034
107525,20120921,,0,MSFT,118421,3698039
107525,20120921,C,0,MSFT,76389,2154381
107525,20120921,P,0,MSFT,42032,1543658
107525,20120924,,0,MSFT,139843,3420068
107525,20120924,C,0,MSFT,78192,2014707
107525,20120924,P,0,MSFT,61651,1405361
107525,20120925,,0,MSFT,142006,3466968
107525,20120925,C,0,MSFT,63062,2038557
107525,20120925,P,0,MSFT,78944,1428411
107525,20120926,,0,MSFT,155076,3509965
107525,20120926,C,0,MSFT,98006,2059579
107525,20120926,P,0,MSFT,57070,1450386
107525,20120927,,0,MSFT,124648,3582834
107525,20120927,C,0,MSFT,79953,2108610
107525,20120927,P,0,MSFT,44695,1474224
107525,20120928,,0,MSFT,235792,3625884
107525,20120928,C,0,MSFT,118145,2136762
107525,20120928,P,0,MSFT,117647,1489122
107525,20121001,,0,MSFT,285062,3662206
107525,20121001,C,0,MSFT,93710,2152244
107525,20121001,P,0,MSFT,191352,1509962
107525,20121002,,0,MSFT,400411,3682890
107525,20121002,C,0,MSFT,331844,2196396
107525,20121002,P,0,MSFT,68567,1486494
107525,20121003,,0,MSFT,177918,3743431
107525,20121003,C,0,MSFT,84939,2237967
