secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
106276,20130801,60,80,0.195839,183.4361,13.44259,0.042725,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-80,0.176869,211.0101,17.85281,0.050358,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-75,0.169251,207.2903,14.6425,0.019412,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-70,0.169268,204.6655,12.65911,0.007006,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-65,0.170742,202.3345,11.06038,0.004637,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-60,0.172626,200.127,9.672866,0.004609,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-55,0.174975,197.9787,8.44934,0.005097,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-50,0.177632,195.834,7.346797,0.00563,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-45,0.180633,193.6482,6.342731,0.006246,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-40,0.184362,191.3681,5.430186,0.00679,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-35,0.188457,188.9396,4.580717,0.007563,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-30,0.193247,186.2886,3.791953,0.009061,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-25,0.199423,183.28,3.062229,0.011833,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,-20,0.207965,179.6832,2.388273,0.018323,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,20,0.158858,209.0497,1.672268,0.007066,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,25,0.160201,206.3954,2.248066,0.004621,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,30,0.162039,204.0372,2.896435,0.004636,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,35,0.164168,201.8471,3.622591,0.004706,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,40,0.166436,199.7422,4.43332,0.004847,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,45,0.169136,197.6787,5.349864,0.005407,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,50,0.171937,195.6029,6.378791,0.00577,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,55,0.174889,193.4796,7.539343,0.006114,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,60,0.178407,191.2613,8.877647,0.0063,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,65,0.181993,188.9049,10.40818,0.006974,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,70,0.186172,186.3595,12.1944,0.010131,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,75,0.193103,183.4212,14.46222,0.019588,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,91,80,0.207516,179.5857,17.74741,0.035999,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-80,0.163499,211.6079,19.39773,0.022817,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-75,0.163375,208.19,16.62767,0.008903,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-70,0.164623,205.2918,14.46476,0.004179,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-65,0.166381,202.6495,12.64657,0.003747,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-60,0.168529,200.1492,11.07055,0.004033,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-55,0.171054,197.7138,9.67575,0.004392,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-50,0.173911,195.2831,8.419818,0.004764,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-45,0.177114,192.8076,7.27686,0.005361,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-40,0.180909,190.2254,6.231454,0.006247,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-35,0.185453,187.4682,5.270072,0.007398,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-30,0.191031,184.4365,4.381883,0.009292,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-25,0.198323,180.9661,3.559858,0.013066,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,-20,0.208709,176.7547,2.802581,0.020366,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,20,0.157211,210.7083,1.879286,0.004251,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,25,0.158728,207.7276,2.52537,0.00311,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,30,0.16073,205.1127,3.251495,0.003143,C,45920010,IBM,3571,0,1,,0,824
