secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
108105,20130801,60,75,0.145317,1637.456,79.40812,0.009042,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,80,0.150057,1618.781,94.57069,0.009443,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-80,0.110755,1784.259,95.04327,0.004742,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-75,0.113716,1769.527,84.07347,0.004951,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-70,0.116789,1755.925,74.77227,0.005102,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-65,0.119839,1742.806,66.52765,0.005261,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-60,0.122879,1729.834,59.06291,0.00566,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-55,0.126336,1716.822,52.38011,0.006441,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-50,0.130632,1703.449,46.43832,0.007141,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-45,0.135215,1689.271,40.84906,0.00724,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-40,0.139444,1674.077,35.36168,0.007422,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-35,0.143874,1657.573,30.12904,0.008412,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-30,0.149368,1639.034,25.26718,0.010159,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-25,0.156489,1617.321,20.73418,0.013012,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-20,0.165993,1590.564,16.46229,0.018514,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,20,0.110661,1782.337,10.27346,0.00529,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,25,0.113836,1767.951,14.09184,0.005779,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,30,0.117307,1754.649,18.49589,0.006049,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,35,0.120737,1741.68,23.50354,0.006103,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,40,0.124004,1728.701,29.14689,0.006333,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,45,0.127573,1715.589,35.61201,0.006978,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,50,0.13186,1702.058,43.17064,0.007531,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,55,0.136276,1687.71,51.84823,0.007525,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,60,0.140308,1672.364,61.63718,0.00767,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,65,0.144561,1655.712,73.00875,0.00856,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,70,0.149677,1637.081,86.70615,0.009823,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,75,0.15552,1615.717,103.368,0.0108,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,80,0.161247,1591.016,123.4601,0.010969,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-80,0.113943,1799.537,114.5656,0.005213,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-75,0.117355,1782.078,101.5975,0.004951,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-70,0.120459,1765.65,90.25127,0.004908,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-65,0.123595,1749.893,80.25712,0.005149,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-60,0.126961,1734.428,71.36037,0.005584,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-55,0.130713,1718.884,63.35857,0.00612,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-50,0.134858,1702.865,56.02885,0.006488,P,64881510,SPX,9999,1,32768,,A,
