Contract,Price,Expiry_yyyymm
SPX Index,1555.25,0
SPM3 Index,1547.6,201306
SPU3 Index,1541.5,201309
SPZ3 Index,1535,201312
SPH4 Index,1528.8,201403
SPM4 Index,1521.8,201406
SPU4 Index,1514.8,201409
SPZ4 Index,1507.8,201412
SPH5 Index,1500.8,201503
SPZ5 Index,1493.8,201512
SPZ6 Index,1488.8,201612
SPZ7 Index,1483.8,201712
